ClassName, TotalOccurrences
net.sf.freecol.common.option.SelectOption ,1280,false
net.sf.freecol.common.model.Unit$PortMode ,5,false
net.sf.freecol.server.model.ServerPlayer ,986,false
net.sf.freecol.common.model.AbstractGoods ,7432,false
net.sf.freecol.common.model.FoundingFather ,555,false
org.junit.runners.ParentRunner$3 ,5,false
net.sf.freecol.common.model.Specification$ModifierReader ,5,false
net.sf.freecol.common.model.Specification ,54649,false
net.sf.freecol.common.model.pathfinding.CostDeciders$AvoidSettlementsCostDecider ,12,false
net.sf.freecol.common.model.ScopeContainer ,29547,false
net.sf.freecol.common.model.EuropeTest ,1,false
net.sf.freecol.FreeCol ,83,false
net.sf.freecol.common.option.IntegerOption ,10900,false
net.sf.freecol.common.model.UnitLocation ,5380,false
net.sf.freecol.common.model.SchoolTest ,6,false
org.junit.internal.runners.rules.RuleMemberValidator$Builder ,160,false
net.sf.freecol.common.model.Unit$UnitState ,5,false
net.sf.freecol.common.model.BuildQueue ,196,false
net.sf.freecol.common.model.Specification$TypeReader ,95,false
junit.framework.TestSuite ,1908,false
org.junit.runners.ParentRunner$2 ,5,false
net.sf.freecol.common.option.RangeOption ,325,false
net.sf.freecol.common.model.NationOptions ,1235,false
org.junit.internal.Classes ,5,false
net.sf.freecol.server.model.ServerGame ,33870,false
net.sf.freecol.util.test.FreeColTestCase$IndianSettlementBuilder ,24,false
net.sf.freecol.common.model.Operand ,80,false
net.sf.freecol.common.model.EuropeanNationType ,2397,false
net.sf.freecol.common.model.NationOptions$Advantages ,35,false
net.sf.freecol.common.model.IndianNationType ,1254,false
org.junit.runners.model.TestClass ,135,false
org.junit.runner.Description ,300,false
net.sf.freecol.common.model.Region ,17,false
net.sf.freecol.common.model.PlunderType ,80,false
net.sf.freecol.util.test.FreeColTestUtils ,7,false
net.sf.freecol.common.model.FreeColObject ,323899,false
net.sf.freecol.common.model.Unit$UnitLabelType ,5,false
net.sf.freecol.common.util.CollectionUtils$2 ,3089,false
net.sf.freecol.common.io.FreeColDataFile ,116,false
net.sf.freecol.common.i18n.Rule ,432,false
net.sf.freecol.common.model.Scope ,1522,false
net.sf.freecol.common.model.TypeCountMap ,847,false
net.sf.freecol.common.option.OptionContainer ,875,false
org.junit.runners.ParentRunner$1 ,10,false
net.sf.freecol.common.option.AbstractOption ,16915,false
net.sf.freecol.common.model.Map$CircleIterator ,1525,false
net.sf.freecol.common.model.Ability ,10745,false
net.sf.freecol.common.model.Tile ,116103,false
net.sf.freecol.common.option.TextOption ,15,false
net.sf.freecol.common.model.Nation ,5737,false
org.junit.runner.JUnitCommandLineParseResult ,35,false
net.sf.freecol.common.io.FreeColDirectories ,117,false
net.sf.freecol.common.model.UnitIterator ,912,false
net.sf.freecol.util.test.FreeColTestUtils$ColonyBuilder ,14,false
net.sf.freecol.common.model.Turn ,70,false
net.sf.freecol.common.model.ProductionMap$ProductionTree ,99,false
net.sf.freecol.common.model.Modifier$ModifierType ,6,false
net.sf.freecol.common.model.ColonyTile ,3152,false
org.junit.internal.MethodSorter ,30,false
org.junit.runner.Request ,10,false
org.junit.runner.notification.RunNotifier$7 ,54,false
net.sf.freecol.common.util.StringUtils ,3620,false
org.junit.internal.builders.JUnit3Builder ,10,false
org.junit.internal.RealSystem ,10,false
org.junit.internal.runners.rules.RuleMemberValidator ,30,false
org.junit.internal.TextListener ,82,false
net.sf.freecol.common.model.StringTemplate$TemplateType ,5,false
net.sf.freecol.common.model.TileImprovementType ,380,false
org.junit.runners.model.RunnerBuilder ,45,false
net.sf.freecol.common.model.FeatureContainer ,44116,false
net.sf.freecol.common.model.Tension ,2,false
net.sf.freecol.common.model.GoodsLocation ,318,false
net.sf.freecol.common.io.FreeColModFile ,65,false
com.sun.proxy.$Proxy2 ,5,false
net.sf.freecol.common.model.IndianSettlement ,1112,false
net.sf.freecol.common.model.Event ,190,false
net.sf.freecol.util.test.FreeColTestCase ,383,false
net.sf.freecol.common.model.Map$1 ,45,false
net.sf.freecol.common.model.Player ,129922,false
net.sf.freecol.common.i18n.NumberRules ,94,false
org.junit.runner.Computer ,10,false
net.sf.freecol.common.model.Disaster$Effects ,5,false
net.sf.freecol.common.model.Map$Position ,133498,false
net.sf.freecol.common.i18n.DefaultNumberRule ,328,false
net.sf.freecol.common.model.GoodsType ,32146,false
net.sf.freecol.common.model.TileItemContainer ,115,false
net.sf.freecol.common.model.WorkLocation ,4260,false
org.junit.runner.Computer$1 ,5,false
org.junit.internal.runners.JUnit38ClassRunner ,158,false
net.sf.freecol.common.model.pathfinding.BaseCostDecider ,35,false
net.sf.freecol.common.model.ResourceType ,60,false
net.sf.freecol.common.model.Operand$OperandType ,5,false
net.sf.freecol.common.model.ProductionCache ,258,false
net.sf.freecol.common.io.FreeColTcFile ,46,false
net.sf.freecol.util.test.FreeColTestCase$MapBuilder ,7032,false
net.sf.freecol.common.debug.FreeColDebugger$DebugMode ,5,false
net.sf.freecol.common.option.UnitTypeOption ,3650,false
net.sf.freecol.common.model.Game ,96453,false
net.sf.freecol.common.model.NationType$AggressionLevel ,5,false
net.sf.freecol.common.option.BooleanOption ,640,false
net.sf.freecol.common.model.GoodsContainer ,267,false
net.sf.freecol.common.debug.FreeColDebugger ,72,false
net.sf.freecol.common.model.BuildingType ,2494,false
net.sf.freecol.common.model.SettlementType ,817,false
net.sf.freecol.common.model.Disaster ,795,false
junit.framework.TestResult ,194,false
net.sf.freecol.common.model.BaseProduction ,145,false
net.sf.freecol.common.model.Tension$Level ,4,false
net.sf.freecol.common.model.Modifier ,25242,false
net.sf.freecol.common.model.ProductionMap ,687,false
org.junit.runner.notification.RunNotifier$3 ,54,false
net.sf.freecol.common.model.Goods ,4,false
net.sf.freecol.common.model.Building ,3831,false
net.sf.freecol.common.model.TileType ,14827,false
org.junit.runner.notification.RunNotifier$2 ,10,false
net.sf.freecol.common.model.IndianSettlementTest ,3,false
net.sf.freecol.common.model.Role ,913,false
net.sf.freecol.common.model.MarketData ,7296,false
org.junit.internal.builders.AnnotatedBuilder ,10,false
net.sf.freecol.common.model.Direction ,51782,false
net.sf.freecol.common.model.RandomRange ,120,false
net.sf.freecol.common.model.TileTypeChange ,120,false
net.sf.freecol.common.model.Operand$ScopeLevel ,5,false
net.sf.freecol.common.model.Occupation ,1112,false
org.junit.runner.Result ,87,false
org.junit.runner.JUnitCore ,35,false
net.sf.freecol.common.util.Utils ,167971,false
junit.framework.TestCase ,456,false
net.sf.freecol.common.model.Effect ,535,false
net.sf.freecol.common.model.AbstractUnit ,4255,false
net.sf.freecol.common.option.StringOption ,4870,false
net.sf.freecol.common.model.GoodsTest ,20,false
org.junit.runner.notification.RunNotifier$1 ,10,false
net.sf.freecol.common.model.Feature ,72985,false
org.junit.internal.MethodSorter$2 ,438,false
net.sf.freecol.common.i18n.Number ,4,false
org.junit.runner.notification.SynchronizedRunListener ,64,false
net.sf.freecol.common.util.CollectionUtils ,163776,false
net.sf.freecol.common.model.UnitLocation$NoAddReason ,1,false
org.junit.internal.MethodSorter$1 ,1700,false
net.sf.freecol.common.model.TileImprovement ,304,false
net.sf.freecol.common.i18n.Messages ,1378,false
net.sf.freecol.server.model.ServerColony ,82,false
net.sf.freecol.common.util.RandomChoice ,385,false
net.sf.freecol.common.model.Map ,248713,false
net.sf.freecol.common.model.Specification$OptionReader ,35,false
net.sf.freecol.common.option.AbstractUnitOption ,7390,false
net.sf.freecol.common.model.Limit$Operator ,5,false
junit.framework.TestResult$1 ,27,false
org.junit.internal.runners.JUnit38ClassRunner$OldTestClassAdaptingListener ,216,false
net.sf.freecol.common.i18n.Relation ,324,false
junit.framework.Assert ,342,false
net.sf.freecol.common.model.ProductionInfo ,977,false
net.sf.freecol.common.model.Monarch ,152,false
net.sf.freecol.common.model.FreeColGameObject ,66431,false
org.junit.runners.Suite ,20,false
net.sf.freecol.common.model.pathfinding.CostDeciders ,6,false
net.sf.freecol.common.model.Settlement ,1549,false
net.sf.freecol.common.model.UnitType ,4703,false
org.junit.runner.notification.RunNotifier ,286,false
net.sf.freecol.common.option.ListOption ,2560,false
net.sf.freecol.common.model.TileItem ,8,false
net.sf.freecol.common.model.Limit ,135,false
net.sf.freecol.common.model.NationType$SettlementNumber ,5,false
net.sf.freecol.common.model.FoundingFather$FoundingFatherType ,5,false
net.sf.freecol.common.model.Europe ,313,false
org.junit.internal.builders.IgnoredBuilder ,5,false
org.junit.runner.Request$1 ,5,false
net.sf.freecol.common.i18n.PluralNumberRule ,2,false
net.sf.freecol.common.option.FileOption ,10,false
net.sf.freecol.common.model.Unit ,4019,false
net.sf.freecol.common.option.UnitTypeOption$TypeSelector ,10,false
org.junit.runner.notification.RunNotifier$SafeNotifier ,64,false
org.junit.runners.ParentRunner ,165,false
net.sf.freecol.common.model.SchoolTest$SchoolLevel ,1,false
org.junit.runner.notification.RunListener ,59,false
net.sf.freecol.common.i18n.Number$Category ,184,false
net.sf.freecol.common.util.CachingFunction ,256,false
junit.runner.Version ,5,false
net.sf.freecol.common.util.LogBuilder ,1054,false
net.sf.freecol.common.model.TileImprovementStyle ,86,false
net.sf.freecol.common.io.FreeColXMLReader ,187755,false
net.sf.freecol.common.model.UnitChangeType ,1507,false
net.sf.freecol.common.model.UnitTypeChange ,622,false
net.sf.freecol.common.model.HighSeas ,608,false
org.junit.runner.Result$Listener ,37,false
net.sf.freecol.common.model.Market ,7752,false
org.junit.internal.builders.AllDefaultPossibilitiesBuilder ,30,false
net.sf.freecol.common.model.BuildableType ,5454,false
net.sf.freecol.common.model.FreeColSpecObject ,25728,false
net.sf.freecol.common.model.FreeColSpecObjectType ,19911,false
net.sf.freecol.common.model.Colony ,1089,false
net.sf.freecol.common.model.Unit$MoveType ,9,false
net.sf.freecol.common.model.NationType ,626,false
org.junit.internal.builders.SuiteMethodBuilder ,10,false
net.sf.freecol.common.model.StringTemplate ,173,false
net.sf.freecol.common.model.ProductionType ,11843,false
net.sf.freecol.common.option.OptionGroup ,18512,false
net.sf.freecol.common.model.BaseCostDeciderTest ,18,false
net.sf.freecol.common.util.Introspector ,1310,false
