ClassName, TotalOccurrences, AlwaysUsed
net.sf.freecol.common.option.SelectOption ,1280,true
net.sf.freecol.common.model.Unit$PortMode ,5,true
net.sf.freecol.server.model.ServerPlayer ,986,true
net.sf.freecol.common.model.AbstractGoods ,7432,true
net.sf.freecol.common.model.FoundingFather ,555,true
org.junit.runners.ParentRunner$3 ,5,true
net.sf.freecol.common.model.Specification$ModifierReader ,5,true
net.sf.freecol.common.model.Specification ,54649,true
net.sf.freecol.common.model.pathfinding.CostDeciders$AvoidSettlementsCostDecider ,12,true
net.sf.freecol.common.model.ScopeContainer ,29547,true
net.sf.freecol.common.model.EuropeTest ,1,false
net.sf.freecol.FreeCol ,83,true
net.sf.freecol.common.option.IntegerOption ,10900,true
net.sf.freecol.common.model.UnitLocation ,5380,true
net.sf.freecol.common.model.SchoolTest ,6,false
org.junit.internal.runners.rules.RuleMemberValidator$Builder ,160,true
net.sf.freecol.common.model.Unit$UnitState ,5,true
net.sf.freecol.common.model.BuildQueue ,196,false
net.sf.freecol.common.model.Specification$TypeReader ,95,true
junit.framework.TestSuite ,1908,true
org.junit.runners.ParentRunner$2 ,5,true
net.sf.freecol.common.option.RangeOption ,325,true
net.sf.freecol.common.model.NationOptions ,1235,true
org.junit.internal.Classes ,5,true
net.sf.freecol.server.model.ServerGame ,33870,true
net.sf.freecol.util.test.FreeColTestCase$IndianSettlementBuilder ,24,true
net.sf.freecol.common.model.Operand ,80,true
net.sf.freecol.common.model.EuropeanNationType ,2397,true
net.sf.freecol.common.model.NationOptions$Advantages ,35,true
net.sf.freecol.common.model.IndianNationType ,1254,true
org.junit.runners.model.TestClass ,135,true
org.junit.runner.Description ,300,true
net.sf.freecol.common.model.Region ,17,true
net.sf.freecol.common.model.PlunderType ,80,true
net.sf.freecol.util.test.FreeColTestUtils ,7,false
net.sf.freecol.common.model.FreeColObject ,323899,true
net.sf.freecol.common.model.Unit$UnitLabelType ,5,true
net.sf.freecol.common.util.CollectionUtils$2 ,3089,true
net.sf.freecol.common.io.FreeColDataFile ,116,true
net.sf.freecol.common.i18n.Rule ,432,false
net.sf.freecol.common.model.Scope ,1522,true
net.sf.freecol.common.model.TypeCountMap ,847,true
net.sf.freecol.common.option.OptionContainer ,875,true
org.junit.runners.ParentRunner$1 ,10,true
net.sf.freecol.common.option.AbstractOption ,16915,true
net.sf.freecol.common.model.Map$CircleIterator ,1525,true
net.sf.freecol.common.model.Ability ,10745,true
net.sf.freecol.common.model.Tile ,116103,true
net.sf.freecol.common.option.TextOption ,15,true
net.sf.freecol.common.model.Nation ,5737,true
org.junit.runner.JUnitCommandLineParseResult ,35,true
net.sf.freecol.common.io.FreeColDirectories ,117,true
net.sf.freecol.common.model.UnitIterator ,912,true
net.sf.freecol.util.test.FreeColTestUtils$ColonyBuilder ,14,false
net.sf.freecol.common.model.Turn ,70,true
net.sf.freecol.common.model.ProductionMap$ProductionTree ,99,false
net.sf.freecol.common.model.Modifier$ModifierType ,6,true
net.sf.freecol.common.model.ColonyTile ,3152,false
org.junit.internal.MethodSorter ,30,true
org.junit.runner.Request ,10,true
org.junit.runner.notification.RunNotifier$7 ,54,true
net.sf.freecol.common.util.StringUtils ,3620,true
org.junit.internal.builders.JUnit3Builder ,10,true
org.junit.internal.RealSystem ,10,true
org.junit.internal.runners.rules.RuleMemberValidator ,30,true
org.junit.internal.TextListener ,82,true
net.sf.freecol.common.model.StringTemplate$TemplateType ,5,true
net.sf.freecol.common.model.TileImprovementType ,380,true
org.junit.runners.model.RunnerBuilder ,45,true
net.sf.freecol.common.model.FeatureContainer ,44116,true
net.sf.freecol.common.model.Tension ,2,true
net.sf.freecol.common.model.GoodsLocation ,318,true
net.sf.freecol.common.io.FreeColModFile ,65,true
com.sun.proxy.$Proxy2 ,5,true
net.sf.freecol.common.model.IndianSettlement ,1112,true
net.sf.freecol.common.model.Event ,190,true
net.sf.freecol.util.test.FreeColTestCase ,383,true
net.sf.freecol.common.model.Map$1 ,45,true
net.sf.freecol.common.model.Player ,129922,true
net.sf.freecol.common.i18n.NumberRules ,94,false
org.junit.runner.Computer ,10,true
net.sf.freecol.common.model.Disaster$Effects ,5,true
net.sf.freecol.common.model.Map$Position ,133498,true
net.sf.freecol.common.i18n.DefaultNumberRule ,328,false
net.sf.freecol.common.model.GoodsType ,32146,true
net.sf.freecol.common.model.TileItemContainer ,115,true
net.sf.freecol.common.model.WorkLocation ,4260,false
org.junit.runner.Computer$1 ,5,true
org.junit.internal.runners.JUnit38ClassRunner ,158,true
net.sf.freecol.common.model.pathfinding.BaseCostDecider ,35,true
net.sf.freecol.common.model.ResourceType ,60,true
net.sf.freecol.common.model.Operand$OperandType ,5,true
net.sf.freecol.common.model.ProductionCache ,258,false
net.sf.freecol.common.io.FreeColTcFile ,46,true
net.sf.freecol.util.test.FreeColTestCase$MapBuilder ,7032,true
net.sf.freecol.common.debug.FreeColDebugger$DebugMode ,5,true
net.sf.freecol.common.option.UnitTypeOption ,3650,true
net.sf.freecol.common.model.Game ,96453,true
net.sf.freecol.common.model.NationType$AggressionLevel ,5,true
net.sf.freecol.common.option.BooleanOption ,640,true
net.sf.freecol.common.model.GoodsContainer ,267,true
net.sf.freecol.common.debug.FreeColDebugger ,72,true
net.sf.freecol.common.model.BuildingType ,2494,true
net.sf.freecol.common.model.SettlementType ,817,true
net.sf.freecol.common.model.Disaster ,795,true
junit.framework.TestResult ,194,true
net.sf.freecol.common.model.BaseProduction ,145,true
net.sf.freecol.common.model.Tension$Level ,4,true
net.sf.freecol.common.model.Modifier ,25242,true
net.sf.freecol.common.model.ProductionMap ,687,false
org.junit.runner.notification.RunNotifier$3 ,54,true
net.sf.freecol.common.model.Goods ,4,false
net.sf.freecol.common.model.Building ,3831,false
net.sf.freecol.common.model.TileType ,14827,true
org.junit.runner.notification.RunNotifier$2 ,10,true
net.sf.freecol.common.model.IndianSettlementTest ,3,false
net.sf.freecol.common.model.Role ,913,true
net.sf.freecol.common.model.MarketData ,7296,true
org.junit.internal.builders.AnnotatedBuilder ,10,true
net.sf.freecol.common.model.Direction ,51782,true
net.sf.freecol.common.model.RandomRange ,120,true
net.sf.freecol.common.model.TileTypeChange ,120,true
net.sf.freecol.common.model.Operand$ScopeLevel ,5,true
net.sf.freecol.common.model.Occupation ,1112,false
org.junit.runner.Result ,87,true
org.junit.runner.JUnitCore ,35,true
net.sf.freecol.common.util.Utils ,167971,true
junit.framework.TestCase ,456,true
net.sf.freecol.common.model.Effect ,535,true
net.sf.freecol.common.model.AbstractUnit ,4255,true
net.sf.freecol.common.option.StringOption ,4870,true
net.sf.freecol.common.model.GoodsTest ,20,false
org.junit.runner.notification.RunNotifier$1 ,10,true
net.sf.freecol.common.model.Feature ,72985,true
org.junit.internal.MethodSorter$2 ,438,true
net.sf.freecol.common.i18n.Number ,4,false
org.junit.runner.notification.SynchronizedRunListener ,64,true
net.sf.freecol.common.util.CollectionUtils ,163776,true
net.sf.freecol.common.model.UnitLocation$NoAddReason ,1,false
org.junit.internal.MethodSorter$1 ,1700,true
net.sf.freecol.common.model.TileImprovement ,304,true
net.sf.freecol.common.i18n.Messages ,1378,true
net.sf.freecol.server.model.ServerColony ,82,false
net.sf.freecol.common.util.RandomChoice ,385,true
net.sf.freecol.common.model.Map ,248713,true
net.sf.freecol.common.model.Specification$OptionReader ,35,true
net.sf.freecol.common.option.AbstractUnitOption ,7390,true
net.sf.freecol.common.model.Limit$Operator ,5,true
junit.framework.TestResult$1 ,27,true
org.junit.internal.runners.JUnit38ClassRunner$OldTestClassAdaptingListener ,216,true
net.sf.freecol.common.i18n.Relation ,324,false
junit.framework.Assert ,342,true
net.sf.freecol.common.model.ProductionInfo ,977,false
net.sf.freecol.common.model.Monarch ,152,true
net.sf.freecol.common.model.FreeColGameObject ,66431,true
org.junit.runners.Suite ,20,true
net.sf.freecol.common.model.pathfinding.CostDeciders ,6,true
net.sf.freecol.common.model.Settlement ,1549,true
net.sf.freecol.common.model.UnitType ,4703,true
org.junit.runner.notification.RunNotifier ,286,true
net.sf.freecol.common.option.ListOption ,2560,true
net.sf.freecol.common.model.TileItem ,8,true
net.sf.freecol.common.model.Limit ,135,true
net.sf.freecol.common.model.NationType$SettlementNumber ,5,true
net.sf.freecol.common.model.FoundingFather$FoundingFatherType ,5,true
net.sf.freecol.common.model.Europe ,313,true
org.junit.internal.builders.IgnoredBuilder ,5,true
org.junit.runner.Request$1 ,5,true
net.sf.freecol.common.i18n.PluralNumberRule ,2,false
net.sf.freecol.common.option.FileOption ,10,true
net.sf.freecol.common.model.Unit ,4019,true
net.sf.freecol.common.option.UnitTypeOption$TypeSelector ,10,true
org.junit.runner.notification.RunNotifier$SafeNotifier ,64,true
org.junit.runners.ParentRunner ,165,true
net.sf.freecol.common.model.SchoolTest$SchoolLevel ,1,false
org.junit.runner.notification.RunListener ,59,true
net.sf.freecol.common.i18n.Number$Category ,184,false
net.sf.freecol.common.util.CachingFunction ,256,false
junit.runner.Version ,5,true
net.sf.freecol.common.util.LogBuilder ,1054,true
net.sf.freecol.common.model.TileImprovementStyle ,86,true
net.sf.freecol.common.io.FreeColXMLReader ,187755,true
net.sf.freecol.common.model.UnitChangeType ,1507,true
net.sf.freecol.common.model.UnitTypeChange ,622,true
net.sf.freecol.common.model.HighSeas ,608,true
org.junit.runner.Result$Listener ,37,true
net.sf.freecol.common.model.Market ,7752,true
org.junit.internal.builders.AllDefaultPossibilitiesBuilder ,30,true
net.sf.freecol.common.model.BuildableType ,5454,true
net.sf.freecol.common.model.FreeColSpecObject ,25728,true
net.sf.freecol.common.model.FreeColSpecObjectType ,19911,true
net.sf.freecol.common.model.Colony ,1089,false
net.sf.freecol.common.model.Unit$MoveType ,9,true
net.sf.freecol.common.model.NationType ,626,true
org.junit.internal.builders.SuiteMethodBuilder ,10,true
net.sf.freecol.common.model.StringTemplate ,173,true
net.sf.freecol.common.model.ProductionType ,11843,true
net.sf.freecol.common.option.OptionGroup ,18512,true
net.sf.freecol.common.model.BaseCostDeciderTest ,18,true
net.sf.freecol.common.util.Introspector ,1310,true
